model,name1,name2,metric,name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Llama3.1-8B base,Llama3.1-8B,base,Recall,331,79.4,96.3,85.7,90.9,64.0,48.9,71.8,33.3,53.6,70.4,66.3,59.0,90.5,74.0,68.7,43.9
Llama3.1-8B base,Llama3.1-8B,base,F1,341,85.7,73.2,71.6,95.2,76.2,65.7,80.8,35.3,69.1,80.9,75.3,69.9,80.9,75.0,61.3,40.7
Llama3.1-8B FT,Llama3.1-8B,FT,Accuracy,312,76.7,94.0,86.0,95.3,73.3,74.7,77.3,93.3,55.3,72.7,70.0,81.3,94.0,79.3,71.3,64.7
Llama3.1-8B FT,Llama3.1-8B,FT,Precision,322,91.4,87.5,61.3,100.0,95.5,93.3,96.4,40.0,98.3,88.5,91.2,92.3,92.9,88.9,73.1,57.1
Llama3.1-8B FT,Llama3.1-8B,FT,Recall,332,72.5,77.8,67.9,68.2,63.0,62.2,62.4,22.2,47.2,56.8,56.5,59.0,61.9,65.8,56.7,28.1
Llama3.1-8B FT,Llama3.1-8B,FT,F1,342,80.9,82.4,64.4,81.1,75.9,74.7,75.7,28.6,63.8,69.2,69.8,72.0,74.3,75.6,63.9,37.6
Llama3.1-8B FT+QSP,Llama3.1-8B,FT+QSP,Accuracy,314,70.7,70.7,65.3,76.7,62.7,71.3,74.0,92.7,54.0,67.3,62.0,74.0,94.7,68.7,64.0,62.0
Llama3.1-8B FT+QSP,Llama3.1-8B,FT+QSP,Precision,324,73.8,35.1,32.9,35.6,81.4,92.7,89.7,37.5,95.2,82.0,79.7,70.4,93.3,69.1,63.3,50.0
Llama3.1-8B FT+QSP,Llama3.1-8B,FT+QSP,Recall,334,88.2,74.1,82.1,72.7,57.0,56.7,61.2,33.3,47.2,50.6,51.1,62.3,66.7,64.4,46.3,28.1
Llama3.1-8B FT+QSP,Llama3.1-8B,FT+QSP,F1,344,80.4,47.6,46.9,47.8,67.1,70.3,72.7,35.3,63.1,62.6,62.3,66.1,77.8,66.7,53.4,36.0
Llama3.1-8B QSP,Llama3.1-8B,QSP,Accuracy,313,77.3,75.3,86.7,97.3,78.0,80.0,84.0,82.7,78.7,83.3,64.0,80.0,94.0,73.3,62.7,54.7
Llama3.1-8B QSP,Llama3.1-8B,QSP,Precision,323,75.0,42.2,58.7,84.6,85.3,84.9,79.0,18.5,94.3,90.0,71.1,69.1,70.0,65.1,55.9,40.7
Llama3.1-8B QSP,Llama3.1-8B,QSP,Recall,333,100.0,100.0,96.4,100.0,81.0,81.1,97.6,55.6,79.2,77.8,69.6,91.8,100.0,97.3,77.6,42.1
Llama3.1-8B QSP,Llama3.1-8B,QSP,F1,343,85.7,59.3,73.0,91.7,83.1,83.0,87.4,27.8,86.1,83.4,70.3,78.9,82.4,78.0,65.0,41.4
